series,palette_multiplier,update_seconds,update_seconds_std,update_seconds_n
batch_valid (b=64),2.0,0.5885656666666667,0.10922046926438897,3
batch_valid (b=64),4.0,0.7165226666666666,0.0048466686840894216,3
batch_valid (b=64),8.0,0.569315,0.17468972533323185,3
batch_valid (b=64),16.0,0.6832713333333333,0.034384591045020944,3
conflict_heavy (b=64),2.0,30.604566666666667,1.0527730825459654,3
conflict_heavy (b=64),4.0,32.102533333333334,1.5733445151438796,3
conflict_heavy (b=64),8.0,34.5555,1.632252728593217,3
conflict_heavy (b=64),16.0,37.98566666666667,2.564564435402891,3
valid_insertions (b=1),2.0,5.777916666666667,0.05147473684569307,3
valid_insertions (b=1),4.0,5.749483333333333,0.10459288519461174,3
valid_insertions (b=1),8.0,5.80979,0.04849969999907238,3
valid_insertions (b=1),16.0,5.836383333333333,0.048256614399824295,3
