engine_name,workload,batch_size,seed,num_vertices,delta_cap,updates_requested,updates_generated,max_generation_attempts,max_rounds,palette_multiplier,parlay_threads,update_seconds,source_row_count,update_seconds_t1,speedup
par_exact,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,,1.0,1.3828,1,1.3828,1.0
par_exact,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,,2.0,1.43389,1,1.3828,0.9643696517863992
par_exact,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,,4.0,1.44971,1,1.3828,0.9538459416021136
par_exact,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,,8.0,1.47505,1,1.3828,0.937459747127216
par_exact,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,,1.0,1.38749,1,1.38749,1.0
par_exact,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,,2.0,1.42267,1,1.38749,0.9752718480041048
par_exact,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,,4.0,1.44077,1,1.38749,0.9630197741485454
par_exact,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,,8.0,1.45878,1,1.38749,0.9511303966328027
par_exact,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,,1.0,1.37859,1,1.37859,1.0
par_exact,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,,2.0,1.43774,1,1.37859,0.9588590426641812
par_exact,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,,4.0,1.44716,1,1.37859,0.9526175405622046
par_exact,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,,8.0,1.4755,1,1.37859,0.9343205692985428
par_exact,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,,1.0,3.98503,1,3.98503,1.0
par_exact,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,,2.0,1.42361,1,3.98503,2.7992427701406988
par_exact,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,,4.0,1.57491,1,3.98503,2.5303223676273565
par_exact,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,,8.0,2.05902,1,3.98503,1.9354013074180922
par_exact,conflict_heavy,64,2,10000,32,16384,16384,5000000,4.0,,1.0,3.91712,1,3.91712,1.0
par_exact,conflict_heavy,64,2,10000,32,16384,16384,5000000,4.0,,2.0,1.4259,1,3.91712,2.7471211164878326
par_exact,conflict_heavy,64,2,10000,32,16384,16384,5000000,4.0,,4.0,1.57628,1,3.91712,2.4850407288045275
par_exact,conflict_heavy,64,2,10000,32,16384,16384,5000000,4.0,,8.0,2.06577,1,3.91712,1.8962033527449813
par_relaxed,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,4.0,1.0,0.617989,1,0.617989,1.0
par_relaxed,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,4.0,2.0,0.583458,1,0.617989,1.059183351672271
par_relaxed,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,4.0,4.0,0.592836,1,0.617989,1.042428260092167
par_relaxed,batch_valid,64,1,10000,32,16384,16384,5000000,4.0,4.0,8.0,0.595414,1,0.617989,1.0379147954196577
par_relaxed,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,4.0,1.0,0.567435,1,0.567435,1.0
par_relaxed,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,4.0,2.0,0.576122,1,0.567435,0.9849215964674148
par_relaxed,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,4.0,4.0,0.593934,1,0.567435,0.9553839315479499
par_relaxed,batch_valid,64,2,10000,32,16384,16384,5000000,4.0,4.0,8.0,0.604211,1,0.567435,0.939133845626776
par_relaxed,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,4.0,1.0,0.571836,1,0.571836,1.0
par_relaxed,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,4.0,2.0,0.580002,1,0.571836,0.985920738204351
par_relaxed,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,4.0,4.0,0.584136,1,0.571836,0.9789432597888164
par_relaxed,batch_valid,64,3,10000,32,16384,16384,5000000,4.0,4.0,8.0,0.621432,1,0.571836,0.9201907851542889
par_relaxed,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,4.0,1.0,0.640313,1,0.640313,1.0
par_relaxed,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,4.0,2.0,0.723536,1,0.640313,0.8849773888237766
par_relaxed,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,4.0,4.0,1.00056,1,0.640313,0.6399546254097707
par_relaxed,conflict_heavy,64,1,10000,32,16384,16384,5000000,4.0,4.0,8.0,1.89349,1,0.640313,0.338165503910768
