host,date,git_commit,parlay_threads,engine_name,workload,seed,num_vertices,delta_cap,batch_size,palette_multiplier,palette_size,max_rounds,updates_requested,updates_generated,updates_applied,updates_rejected,accepted_ratio,batches_generated,batches_applied,batch_accepted_ratio,generation_attempts,generator_same_color_attempts,generator_same_color_chosen,generator_same_color_fallbacks,initial_edges_requested,initial_edges,final_edges,target_accepted,insert_ratio,max_generation_attempts,build_seconds,update_seconds,validate_seconds,throughput_updates_per_second,max_degree_observed,graph_validated,coloring_validated,vertices_touched_total,total_rounds,fallback_count,repair_calls,repair_rounds,sequential_repair_calls,sequential_repair_rounds,active_vertices_initial_total,active_vertices_expanded_total,conflicted_vertices_initial_total,neighbor_scans,commits_total,repair_seconds,active_build_seconds,recolor_calls,recolored_vertices_total,cascade_steps_total,full_fallback_count,level_conflict_choices,active_vertices_total,repair_rounds_total,proposal_count,commit_count,unresolved_count,sequential_fast_path_count,validation_message,color_validation_message,parlay_threads_raw,workload_batch,fallback_unified,repair_effort_value,repair_effort_label,vertices_touched_per_update,generator_attempts_per_update
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,1.0,par_relaxed,conflict_heavy,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1507792,1507792,16384,0,0,0,16384,0,0.5,5000000,0.00122954,0.637933,0.0073528,25682.9,11,1,1,32513,278.0,0.0,256.0,278.0,256.0,278.0,32768,79779,32469,319171.0,27341.0,0.0310032,0.0244375,,,,,,,,,,,,,,1,conflict_heavy (b=64),0.0,278.0,total_rounds,1.98443603515625,92.0283203125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,2.0,par_relaxed,batch_valid,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16384,0,0,0,0,0,16384,0,0.5,5000000,0.00128218,0.576122,0.00742962,28438.4,12,1,1,7745,255.0,0.0,256.0,255.0,255.0,255.0,32768,84396,7745,151307.0,7671.0,0.0137986,0.0255786,,,,,,,,,,,,,,2,batch_valid (b=64),0.0,255.0,total_rounds,0.47271728515625,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,2.0,par_relaxed,conflict_heavy,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1507792,1507792,16384,0,0,0,16384,0,0.5,5000000,0.00129347,0.733692,0.00740412,22330.9,11,1,1,32513,278.0,0.0,256.0,278.0,256.0,278.0,32768,79779,32469,319171.0,27341.0,0.031048,0.0243904,,,,,,,,,,,,,,2,conflict_heavy (b=64),0.0,278.0,total_rounds,1.98443603515625,92.0283203125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,4.0,par_relaxed,batch_valid,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16384,0,0,0,0,0,16384,0,0.5,5000000,0.00139741,0.593934,0.00770727,27585.5,12,1,1,7745,255.0,0.0,256.0,255.0,255.0,255.0,32768,84396,7745,151307.0,7671.0,0.013858,0.0269397,,,,,,,,,,,,,,4,batch_valid (b=64),0.0,255.0,total_rounds,0.47271728515625,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,4.0,par_relaxed,conflict_heavy,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1507792,1507792,16384,0,0,0,16384,0,0.5,5000000,0.00135837,1.04312,0.00725044,15706.7,11,1,1,32513,278.0,0.0,256.0,278.0,256.0,278.0,32768,79779,32469,319171.0,27341.0,0.0315571,0.0250484,,,,,,,,,,,,,,4,conflict_heavy (b=64),0.0,278.0,total_rounds,1.98443603515625,92.0283203125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,8.0,par_relaxed,batch_valid,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16384,0,0,0,0,0,16384,0,0.5,5000000,0.0330618,0.604211,0.00781311,27116.3,12,1,1,7745,255.0,0.0,256.0,255.0,255.0,255.0,32768,84396,7745,151307.0,7671.0,0.0358955,0.0477213,,,,,,,,,,,,,,8,batch_valid (b=64),0.0,255.0,total_rounds,0.47271728515625,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,8.0,par_relaxed,conflict_heavy,2,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1507792,1507792,16384,0,0,0,16384,0,0.5,5000000,0.00199238,1.80857,0.00741007,9059.11,11,1,1,32513,278.0,0.0,256.0,278.0,256.0,278.0,32768,79779,32469,319171.0,27341.0,0.0310125,0.0888943,,,,,,,,,,,,,,8,conflict_heavy (b=64),0.0,278.0,total_rounds,1.98443603515625,92.0283203125
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,1.0,par_relaxed,batch_valid,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16389,0,0,0,0,0,16384,0,0.5,5000000,0.00130755,0.571836,0.00714411,28651.6,13,1,1,7800,255.0,0.0,256.0,255.0,255.0,255.0,32768,84162,7800,151213.0,7750.0,0.0139502,0.0254219,,,,,,,,,,,,,,1,batch_valid (b=64),0.0,255.0,total_rounds,0.47607421875,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,1.0,par_relaxed,conflict_heavy,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1497519,1497519,16384,0,0,0,16384,0,0.5,5000000,0.0012249,0.65444,0.00706023,25035.2,11,1,1,32501,269.0,0.0,256.0,269.0,256.0,269.0,32768,79786,32471,319201.0,27319.0,0.0308236,0.0249462,,,,,,,,,,,,,,1,conflict_heavy (b=64),0.0,269.0,total_rounds,1.98370361328125,91.40130615234375
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,2.0,par_relaxed,batch_valid,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16389,0,0,0,0,0,16384,0,0.5,5000000,0.00134111,0.580002,0.00712071,28248.2,13,1,1,7800,255.0,0.0,256.0,255.0,255.0,255.0,32768,84162,7800,151213.0,7750.0,0.0139271,0.0249844,,,,,,,,,,,,,,2,batch_valid (b=64),0.0,255.0,total_rounds,0.47607421875,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,2.0,par_relaxed,conflict_heavy,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1497519,1497519,16384,0,0,0,16384,0,0.5,5000000,0.00134469,0.735705,0.00723037,22269.8,11,1,1,32501,269.0,0.0,256.0,269.0,256.0,269.0,32768,79786,32471,319201.0,27319.0,0.0306404,0.0248298,,,,,,,,,,,,,,2,conflict_heavy (b=64),0.0,269.0,total_rounds,1.98370361328125,91.40130615234375
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,4.0,par_relaxed,batch_valid,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16389,0,0,0,0,0,16384,0,0.5,5000000,0.00154711,0.584136,0.00720395,28048.3,13,1,1,7800,255.0,0.0,256.0,255.0,255.0,255.0,32768,84162,7800,151213.0,7750.0,0.0138236,0.024944,,,,,,,,,,,,,,4,batch_valid (b=64),0.0,255.0,total_rounds,0.47607421875,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,4.0,par_relaxed,conflict_heavy,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1497519,1497519,16384,0,0,0,16384,0,0.5,5000000,0.00156367,1.01373,0.0071042,16162.2,11,1,1,32501,269.0,0.0,256.0,269.0,256.0,269.0,32768,79786,32471,319201.0,27319.0,0.0995464,0.0585562,,,,,,,,,,,,,,4,conflict_heavy (b=64),0.0,269.0,total_rounds,1.98370361328125,91.40130615234375
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,8.0,par_relaxed,batch_valid,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,0,0,0,16389,0,0,0,0,0,16384,0,0.5,5000000,0.00190261,0.621432,0.00714942,26364.9,13,1,1,7800,255.0,0.0,256.0,255.0,255.0,255.0,32768,84162,7800,151213.0,7750.0,0.0138391,0.0252538,,,,,,,,,,,,,,8,batch_valid (b=64),0.0,255.0,total_rounds,0.47607421875,0.0
br013.ib.bridges2.psc.edu,2026-05-01T03:08:51-0400,02bacde,8.0,par_relaxed,conflict_heavy,3,10000,32,64,4.0,129.0,4.0,16384,16384,16384,0,1,256,256,1,1497519,1497519,16384,0,0,0,16384,0,0.5,5000000,0.00190901,1.90314,0.00716652,8608.94,11,1,1,32501,269.0,0.0,256.0,269.0,256.0,269.0,32768,79786,32471,319201.0,27319.0,0.0313081,0.0895272,,,,,,,,,,,,,,8,conflict_heavy (b=64),0.0,269.0,total_rounds,1.98370361328125,91.40130615234375
